axis_id,probe,target,s,metric,accuracy,ci_lo,ci_hi,n_clips,majority_baseline,margin_over_majority
presence,audio_tagger,ode,0.05,exact_match,0.54375,0.49746875,0.59,200,0.89375,-0.3500000000000001
presence,audio_tagger,ode,0.15,exact_match,0.55125,0.50875,0.59125,200,0.89375,-0.3425
presence,audio_tagger,ode,0.25,exact_match,0.66875,0.62625,0.70875,200,0.89375,-0.2250000000000001
presence,audio_tagger,ode,0.35,exact_match,0.7575,0.72246875,0.79375,200,0.89375,-0.1362500000000001
presence,audio_tagger,ode,0.45,exact_match,0.8025,0.76875,0.835,200,0.89375,-0.09125000000000005
presence,audio_tagger,ode,0.6,exact_match,0.83625,0.8075,0.8675,200,0.89375,-0.057499999999999996
presence,audio_tagger,ode,0.75,exact_match,0.91125,0.8875,0.93375,200,0.89375,0.01749999999999996
presence,audio_tagger,ode,0.9,exact_match,0.9775,0.9675,0.9875,200,0.89375,0.08374999999999999
timing,audio_tagger,ode,0.05,exact_match,0.94625,0.92746875,0.96375,200,0.94125,0.0050000000000000044
timing,audio_tagger,ode,0.15,exact_match,0.95375,0.935,0.9687812499999999,200,0.94125,0.012499999999999956
timing,audio_tagger,ode,0.25,exact_match,0.965,0.95125,0.9775,200,0.94125,0.023749999999999938
timing,audio_tagger,ode,0.35,exact_match,0.96875,0.955,0.98125,200,0.94125,0.02749999999999997
timing,audio_tagger,ode,0.45,exact_match,0.96875,0.95621875,0.98,200,0.94125,0.02749999999999997
timing,audio_tagger,ode,0.6,exact_match,0.97625,0.965,0.98625,200,0.94125,0.03499999999999992
timing,audio_tagger,ode,0.75,exact_match,0.985,0.97625,0.99375,200,0.94125,0.043749999999999956
timing,audio_tagger,ode,0.9,exact_match,0.99875,0.99625,1.0,200,0.94125,0.057499999999999996
class,audio_tagger,ode,0.05,exact_match,0.25,0.21625,0.28625,200,0.33875,-0.08875
class,audio_tagger,ode,0.15,exact_match,0.29,0.25625,0.32503125,200,0.33875,-0.048750000000000016
class,audio_tagger,ode,0.25,exact_match,0.2875,0.2525,0.325,200,0.33875,-0.05125000000000002
class,audio_tagger,ode,0.35,exact_match,0.345,0.30875,0.38125,200,0.33875,0.006249999999999978
class,audio_tagger,ode,0.45,exact_match,0.43625,0.39871875,0.47878125,200,0.33875,0.09750000000000003
class,audio_tagger,ode,0.6,exact_match,0.5575,0.5175,0.59625,200,0.33875,0.21875
class,audio_tagger,ode,0.75,exact_match,0.7175,0.68625,0.74875,200,0.33875,0.37875000000000003
class,audio_tagger,ode,0.9,exact_match,0.94,0.9237187499999999,0.955,200,0.33875,0.60125
material,audio_tagger,ode,0.05,cosine,0.26755509005269396,0.2521792199693284,0.2828597629565978,200,nan,nan
material,audio_tagger,ode,0.15,cosine,0.334460027210885,0.3155869977864882,0.35260437403612854,200,nan,nan
material,audio_tagger,ode,0.25,cosine,0.45503214710935547,0.43326580569136386,0.47578753963950016,200,nan,nan
material,audio_tagger,ode,0.35,cosine,0.5848640657301614,0.5600747144457688,0.6072775564930862,200,nan,nan
material,audio_tagger,ode,0.45,cosine,0.6961520207731451,0.6735882544082927,0.7165368210511329,200,nan,nan
material,audio_tagger,ode,0.6,cosine,0.8509415251882974,0.8371456031976793,0.8627114782416672,200,nan,nan
material,audio_tagger,ode,0.75,cosine,0.9626053630092742,0.9592196951937783,0.9658818122180641,200,nan,nan
material,audio_tagger,ode,0.9,cosine,0.9986582315457511,0.998511493456782,0.9987945047480167,200,nan,nan
