theta_commit,axis,n_clips,n_cross,crossing_fraction,legacy_mean_of_crossers,censored_median,legacy_rank,censored_rank,legacy_order,legacy_order_stable_vs_theta_0.70,censored_order,censored_order_stable_vs_theta_0.70
0.6,timing,200,77,0.385,0.11168831168831175,1.0,1,3,timing < presence < material,True,presence < material < timing,False
0.6,presence,200,115,0.575,0.18999999999999995,0.45,2,1,timing < presence < material,True,presence < material < timing,False
0.6,material,200,200,1.0,0.5207499999999999,0.6,3,2,timing < presence < material,True,presence < material < timing,False
0.65,timing,200,77,0.385,0.11168831168831175,1.0,1,3,timing < presence < material,True,material = presence < timing,False
0.65,presence,200,114,0.57,0.19210526315789472,0.6,2,1,timing < presence < material,True,material = presence < timing,False
0.65,material,200,200,1.0,0.5769999999999998,0.6,3,1,timing < presence < material,True,material = presence < timing,False
0.7,timing,200,77,0.385,0.11363636363636369,1.0,1,3,timing < presence < material,True,material < presence < timing,True
0.7,presence,200,113,0.565,0.2141592920353982,0.675,2,2,timing < presence < material,True,material < presence < timing,True
0.7,material,200,200,1.0,0.6382499999999999,0.6,3,1,timing < presence < material,True,material < presence < timing,True
0.75,timing,200,77,0.385,0.114935064935065,1.0,1,3,timing < presence < material,True,presence < material < timing,False
0.75,presence,200,113,0.565,0.2141592920353982,0.675,2,1,timing < presence < material,True,presence < material < timing,False
0.75,material,200,199,0.995,0.6967336683417085,0.75,3,2,timing < presence < material,True,presence < material < timing,False
0.8,timing,200,77,0.385,0.114935064935065,1.0,1,3,timing < presence < material,True,presence < material < timing,False
0.8,presence,200,113,0.565,0.2141592920353982,0.675,2,1,timing < presence < material,True,presence < material < timing,False
0.8,material,200,197,0.985,0.767005076142132,0.75,3,2,timing < presence < material,True,presence < material < timing,False
