axis_id,clip_id,a_ind,status,s_commit
presence,1002,0.59999999999999998,CROSSING,0.05
presence,1003,0.47499999999999998,CROSSING,0.75
presence,1048,1,VIDEO_DETERMINED,
presence,1094,0.59999999999999998,CROSSING,0.15
presence,1131,1,VIDEO_DETERMINED,
presence,115,0.67500000000000004,CENSORED,
presence,1152,1,VIDEO_DETERMINED,
presence,116,0.67500000000000004,CROSSING,0.05
presence,1186,0.875,CROSSING,0.05
presence,1196,0.54166666666666663,CROSSING,0.05
presence,1207,1,VIDEO_DETERMINED,
presence,1209,0.875,CROSSING,0.05
presence,121,1,VIDEO_DETERMINED,
presence,1263,0.76666666666666672,CROSSING,0.25
presence,1270,0.59999999999999998,CROSSING,0.60
presence,1278,0.54166666666666663,CROSSING,0.05
presence,1282,1,VIDEO_DETERMINED,
presence,1308,1,VIDEO_DETERMINED,
presence,1330,1,VIDEO_DETERMINED,
presence,1364,0.76666666666666672,CROSSING,0.05
presence,1386,0.875,CROSSING,0.05
presence,1410,0.67500000000000004,CROSSING,0.25
presence,1412,1,VIDEO_DETERMINED,
presence,1421,0.875,CROSSING,0.05
presence,1422,0.76666666666666672,CENSORED,
presence,1436,0.54166666666666663,CROSSING,0.60
presence,1447,1,VIDEO_DETERMINED,
presence,1459,0.54166666666666663,CROSSING,0.60
presence,1479,1,VIDEO_DETERMINED,
presence,1502,1,VIDEO_DETERMINED,
presence,1514,1,VIDEO_DETERMINED,
presence,1517,1,VIDEO_DETERMINED,
presence,1560,0.875,CROSSING,0.05
presence,1574,1,VIDEO_DETERMINED,
presence,1601,1,VIDEO_DETERMINED,
presence,1628,0.76666666666666672,CROSSING,0.05
presence,1629,0.67500000000000004,CROSSING,0.90
presence,1630,1,VIDEO_DETERMINED,
presence,1739,0.875,CROSSING,0.05
presence,1762,1,VIDEO_DETERMINED,
presence,1810,0.875,CROSSING,0.90
presence,1812,1,VIDEO_DETERMINED,
presence,1813,0.76666666666666672,CROSSING,0.05
presence,1859,0.76666666666666672,CROSSING,0.05
presence,1868,1,VIDEO_DETERMINED,
presence,1876,0.875,CROSSING,0.05
presence,1893,1,VIDEO_DETERMINED,
presence,1900,0.875,CROSSING,0.05
presence,1905,0.67500000000000004,CROSSING,0.15
presence,1929,0.76666666666666672,CROSSING,0.05
presence,194,1,VIDEO_DETERMINED,
presence,195,0.875,CROSSING,0.35
presence,1956,0.875,CROSSING,0.05
presence,1964,1,VIDEO_DETERMINED,
presence,1972,1,VIDEO_DETERMINED,
presence,2,1,VIDEO_DETERMINED,
presence,2029,0.59999999999999998,CROSSING,0.15
presence,2032,0.67500000000000004,CROSSING,0.05
presence,2041,0.76666666666666672,CROSSING,0.05
presence,2061,1,VIDEO_DETERMINED,
presence,2082,1,VIDEO_DETERMINED,
presence,2106,1,VIDEO_DETERMINED,
presence,214,1,VIDEO_DETERMINED,
presence,2174,0.67500000000000004,CROSSING,0.15
presence,2177,0.875,CROSSING,0.05
presence,221,1,VIDEO_DETERMINED,
presence,2249,0.5,CROSSING,0.90
presence,2250,0.54166666666666663,CROSSING,0.05
presence,2307,0.59999999999999998,CENSORED,
presence,2311,0.59999999999999998,CROSSING,0.90
presence,2372,0.67500000000000004,CROSSING,0.05
presence,2418,0.76666666666666672,CROSSING,0.05
presence,2436,1,VIDEO_DETERMINED,
presence,245,0.875,CROSSING,0.05
presence,2457,1,VIDEO_DETERMINED,
presence,2469,1,VIDEO_DETERMINED,
presence,249,0.875,CROSSING,0.60
presence,2491,0.76666666666666672,CROSSING,0.05
presence,2511,0.875,CROSSING,0.45
presence,2555,1,VIDEO_DETERMINED,
presence,2583,0.875,CENSORED,
presence,2603,1,VIDEO_DETERMINED,
presence,2612,0.875,CROSSING,0.05
presence,2622,1,VIDEO_DETERMINED,
presence,2646,0.875,CROSSING,0.05
presence,2661,0.875,CROSSING,0.25
presence,2668,0.59999999999999998,CROSSING,0.05
presence,2689,0.46666666666666667,CENSORED,
presence,2723,0.5,CROSSING,0.75
presence,2757,0.54166666666666663,CROSSING,0.05
presence,2794,0.875,CENSORED,
presence,2796,0.76666666666666672,CROSSING,0.05
presence,2802,1,VIDEO_DETERMINED,
presence,2803,0.875,CROSSING,0.05
presence,2812,1,VIDEO_DETERMINED,
presence,2817,0.875,CROSSING,0.05
presence,282,0.46666666666666667,CROSSING,0.45
presence,2826,0.875,CROSSING,0.05
presence,2875,1,VIDEO_DETERMINED,
presence,2881,1,VIDEO_DETERMINED,
presence,292,0.76666666666666672,CROSSING,0.05
presence,2945,0.875,CROSSING,0.05
presence,2992,1,VIDEO_DETERMINED,
presence,3,0.67500000000000004,CENSORED,
presence,3048,0.59999999999999998,CROSSING,0.05
presence,3056,1,VIDEO_DETERMINED,
presence,3112,0.76666666666666672,CROSSING,0.15
presence,3113,0.875,CROSSING,0.05
presence,3114,0.54166666666666663,CROSSING,0.60
presence,3220,0.875,CROSSING,0.05
presence,325,0.875,CROSSING,0.05
presence,3273,0.67500000000000004,CROSSING,0.05
presence,332,1,VIDEO_DETERMINED,
presence,338,1,VIDEO_DETERMINED,
presence,3392,0.5,CROSSING,0.75
presence,3395,0.67500000000000004,CROSSING,0.05
presence,34,1,VIDEO_DETERMINED,
presence,3411,0.875,CROSSING,0.05
presence,3459,0.875,CROSSING,0.05
presence,3460,0.67500000000000004,CROSSING,0.15
presence,3464,1,VIDEO_DETERMINED,
presence,3475,0.67500000000000004,CROSSING,0.05
presence,3491,0.67500000000000004,CROSSING,0.05
presence,3496,0.67500000000000004,CROSSING,0.05
presence,3540,0.76666666666666672,CROSSING,0.05
presence,3570,0.76666666666666672,CROSSING,0.35
presence,3585,0.76666666666666672,CROSSING,0.15
presence,3611,1,VIDEO_DETERMINED,
presence,3630,1,VIDEO_DETERMINED,
presence,3637,1,VIDEO_DETERMINED,
presence,3657,0.47499999999999998,CENSORED,
presence,3768,0.875,CROSSING,0.25
presence,3780,0.875,CROSSING,0.05
presence,3873,0.59999999999999998,CROSSING,0.15
presence,388,1,VIDEO_DETERMINED,
presence,3912,1,VIDEO_DETERMINED,
presence,3957,1,VIDEO_DETERMINED,
presence,3979,1,VIDEO_DETERMINED,
presence,3985,1,VIDEO_DETERMINED,
presence,3994,0.76666666666666672,CENSORED,
presence,4000,0.67500000000000004,CROSSING,0.90
presence,4063,1,VIDEO_DETERMINED,
presence,4077,0.67500000000000004,CENSORED,
presence,4122,1,VIDEO_DETERMINED,
presence,4170,1,VIDEO_DETERMINED,
presence,4268,0.59999999999999998,CROSSING,0.05
presence,4283,0.875,CROSSING,0.05
presence,43,1,VIDEO_DETERMINED,
presence,4315,1,VIDEO_DETERMINED,
presence,4334,0.54166666666666663,CROSSING,0.05
presence,437,0.875,CROSSING,0.05
presence,4398,0.54166666666666663,CROSSING,0.15
presence,4411,0.67500000000000004,CROSSING,0.75
presence,4476,0.54166666666666663,CROSSING,0.25
presence,4510,0.67500000000000004,CROSSING,0.15
presence,452,0.76666666666666672,CROSSING,0.05
presence,4563,0.67500000000000004,CROSSING,0.05
presence,457,0.59999999999999998,CROSSING,0.60
presence,4590,0.54166666666666663,CROSSING,0.45
presence,4635,0.875,CROSSING,0.05
presence,4671,0.47499999999999998,CROSSING,0.15
presence,4694,1,VIDEO_DETERMINED,
presence,4720,0.67500000000000004,CENSORED,
presence,477,0.59999999999999998,CENSORED,
presence,481,0.59999999999999998,CROSSING,0.90
presence,4855,1,VIDEO_DETERMINED,
presence,4863,0.54166666666666663,CENSORED,
presence,4870,0.76666666666666672,CROSSING,0.05
presence,4876,0.875,CROSSING,0.15
presence,4881,0.59999999999999998,CENSORED,
presence,4883,1,VIDEO_DETERMINED,
presence,4935,0.46666666666666667,CROSSING,0.25
presence,4939,0.5,CROSSING,0.25
presence,4996,0.76666666666666672,CENSORED,
presence,502,1,VIDEO_DETERMINED,
presence,505,1,VIDEO_DETERMINED,
presence,527,0.76666666666666672,CENSORED,
presence,547,0.59999999999999998,CROSSING,0.90
presence,595,0.76666666666666672,CROSSING,0.05
presence,596,0.59999999999999998,CROSSING,0.25
presence,63,0.76666666666666672,CROSSING,0.90
presence,643,0.47499999999999998,CROSSING,0.05
presence,658,0.875,CROSSING,0.05
presence,662,1,VIDEO_DETERMINED,
presence,67,1,VIDEO_DETERMINED,
presence,691,0.59999999999999998,CROSSING,0.15
presence,706,1,VIDEO_DETERMINED,
presence,728,1,VIDEO_DETERMINED,
presence,819,0.875,CROSSING,0.05
presence,844,1,VIDEO_DETERMINED,
presence,847,0.76666666666666672,CROSSING,0.05
presence,849,0.76666666666666672,CROSSING,0.05
presence,859,0.67500000000000004,CROSSING,0.05
presence,905,0.47499999999999998,CENSORED,
presence,913,0.875,CROSSING,0.05
presence,92,0.875,CROSSING,0.05
presence,920,0.67500000000000004,CROSSING,0.05
presence,935,0.76666666666666672,CROSSING,0.15
presence,955,1,VIDEO_DETERMINED,
presence,96,0.59999999999999998,CROSSING,0.90
timing,1002,1,VIDEO_DETERMINED,
timing,1003,1,VIDEO_DETERMINED,
timing,1048,1,VIDEO_DETERMINED,
timing,1094,1,VIDEO_DETERMINED,
timing,1131,1,VIDEO_DETERMINED,
timing,115,0.875,CROSSING,0.05
timing,1152,1,VIDEO_DETERMINED,
timing,116,1,VIDEO_DETERMINED,
timing,1186,0.875,CROSSING,0.05
timing,1196,1,VIDEO_DETERMINED,
timing,1207,1,VIDEO_DETERMINED,
timing,1209,0.875,CROSSING,0.05
timing,121,0.875,CROSSING,0.05
timing,1263,1,VIDEO_DETERMINED,
timing,1270,1,VIDEO_DETERMINED,
timing,1278,1,VIDEO_DETERMINED,
timing,1282,0.45833333333333331,CROSSING,0.05
timing,1308,0.65833333333333333,CROSSING,0.90
timing,1330,1,VIDEO_DETERMINED,
timing,1364,1,VIDEO_DETERMINED,
timing,1386,0.55833333333333335,CROSSING,0.05
timing,1410,1,VIDEO_DETERMINED,
timing,1412,1,VIDEO_DETERMINED,
timing,1421,1,VIDEO_DETERMINED,
timing,1422,1,VIDEO_DETERMINED,
timing,1436,1,VIDEO_DETERMINED,
timing,1447,0.875,CROSSING,0.05
timing,1459,1,VIDEO_DETERMINED,
