axis_id,probe,target,s,metric,accuracy,ci_lo,ci_hi,n_clips,majority_baseline,margin_over_majority,balanced_accuracy,bal_ci_lo,bal_ci_hi
presence,audio_tagger,ode,0.05,exact_match,0.54375,0.49746875,0.59,200,0.89375,-0.3500000000000001,0.5581653640477169,0.5009762916300273,0.6152603856572129
presence,audio_tagger,ode,0.15,exact_match,0.55125,0.50875,0.59125,200,0.89375,-0.3425,0.5727272727272728,0.515491983376622,0.6254199527459114
presence,audio_tagger,ode,0.25,exact_match,0.66875,0.62625,0.70875,200,0.89375,-0.2250000000000001,0.6280954339777869,0.5685516140171895,0.6877864073535921
presence,audio_tagger,ode,0.35,exact_match,0.7575,0.72246875,0.79375,200,0.89375,-0.1362500000000001,0.7088440970793912,0.6483341258253172,0.763091564663861
presence,audio_tagger,ode,0.45,exact_match,0.8025,0.76875,0.835,200,0.89375,-0.09125000000000005,0.7443850267379679,0.6897772685797072,0.7937606523098005
presence,audio_tagger,ode,0.6,exact_match,0.83625,0.8075,0.8675,200,0.89375,-0.057499999999999996,0.7736322501028383,0.7237083777493837,0.8234501957885889
presence,audio_tagger,ode,0.75,exact_match,0.91125,0.8875,0.93375,200,0.89375,0.01749999999999996,0.8207733443027561,0.7684445805655458,0.8683622541272146
presence,audio_tagger,ode,0.9,exact_match,0.9775,0.9675,0.9875,200,0.89375,0.08374999999999999,0.9563142739613328,0.9285928355738199,0.9824850563039901
timing,audio_tagger,ode,0.05,exact_match,0.94625,0.92746875,0.96375,200,0.94125,0.0050000000000000044,0.35283864541832666,0.27598806994287134,0.42738040946944206
timing,audio_tagger,ode,0.15,exact_match,0.95375,0.935,0.9687812499999999,200,0.94125,0.012499999999999956,0.6070053120849933,0.5430902595195145,0.6809586398095405
timing,audio_tagger,ode,0.25,exact_match,0.965,0.95125,0.9775,200,0.94125,0.023749999999999938,0.6698373173970783,0.592780196424181,0.7547159592556117
timing,audio_tagger,ode,0.35,exact_match,0.96875,0.955,0.98125,200,0.94125,0.02749999999999997,0.5741699867197875,0.49687815518527567,0.6512073755673811
timing,audio_tagger,ode,0.45,exact_match,0.96875,0.95621875,0.98,200,0.94125,0.02749999999999997,0.7030046480743691,0.6278959148202989,0.7777316066745847
timing,audio_tagger,ode,0.6,exact_match,0.97625,0.965,0.98625,200,0.94125,0.03499999999999992,0.8368359893758299,0.766770150661702,0.9145823150223082
timing,audio_tagger,ode,0.75,exact_match,0.985,0.97625,0.99375,200,0.94125,0.043749999999999956,0.9366699867197875,0.8788620026770679,0.9892224802556027
timing,audio_tagger,ode,0.9,exact_match,0.99875,0.99625,1.0,200,0.94125,0.057499999999999996,0.9958333333333333,0.9851160714285715,1.0
class,audio_tagger,ode,0.05,exact_match,0.25,0.21625,0.28625,200,0.33875,-0.08875,0.10818959739471808,0.08152999165939687,0.13250344676908415
class,audio_tagger,ode,0.15,exact_match,0.29,0.25625,0.32503125,200,0.33875,-0.048750000000000016,0.13043593731824338,0.10417626225347154,0.15742304437974075
class,audio_tagger,ode,0.25,exact_match,0.2875,0.2525,0.325,200,0.33875,-0.05125000000000002,0.14135140471568658,0.11261862942039501,0.17058676172728948
class,audio_tagger,ode,0.35,exact_match,0.345,0.30875,0.38125,200,0.33875,0.006249999999999978,0.21250438446900277,0.18139626953561186,0.247961603718051
class,audio_tagger,ode,0.45,exact_match,0.43625,0.39871875,0.47878125,200,0.33875,0.09750000000000003,0.320442668980685,0.25657171875584744,0.3815131784369309
class,audio_tagger,ode,0.6,exact_match,0.5575,0.5175,0.59625,200,0.33875,0.21875,0.46290389761925066,0.3842437074303753,0.5436292055505845
class,audio_tagger,ode,0.75,exact_match,0.7175,0.68625,0.74875,200,0.33875,0.37875000000000003,0.783247654873959,0.7445061139138299,0.8235453927450452
class,audio_tagger,ode,0.9,exact_match,0.94,0.9237187499999999,0.955,200,0.33875,0.60125,0.9516873506084617,0.9236921516473072,0.9726872834128747
material,audio_tagger,ode,0.05,cosine,0.26755509005269396,0.2521792199693284,0.2828597629565978,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.15,cosine,0.334460027210885,0.3155869977864882,0.35260437403612854,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.25,cosine,0.45503214710935547,0.43326580569136386,0.47578753963950016,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.35,cosine,0.5848640657301614,0.5600747144457688,0.6072775564930862,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.45,cosine,0.6961520207731451,0.6735882544082927,0.7165368210511329,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.6,cosine,0.8509415251882974,0.8371456031976793,0.8627114782416672,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.75,cosine,0.9626053630092742,0.9592196951937783,0.9658818122180641,200,nan,nan,nan,nan,nan
material,audio_tagger,ode,0.9,cosine,0.9986582315457511,0.998511493456782,0.9987945047480167,200,nan,nan,nan,nan,nan
