clip,cfg,alpha,schedule,axis_id,s,a_independent,a_fork,commit_gain
1002,1.0,0.4,sqrt_down,presence,0.05,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.15,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.25,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.35,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.45,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.6,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.75,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,presence,0.9,0.6,1.0,1.0
1002,1.0,0.4,sqrt_down,timing,0.05,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.15,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.25,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.35,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.45,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.6,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.75,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,timing,0.9,1.0,1.0,0.0
1002,1.0,0.4,sqrt_down,class,0.05,0.8666666666666667,1.0,1.0
1002,1.0,0.4,sqrt_down,class,0.15,0.8666666666666667,0.0,0.0
1002,1.0,0.4,sqrt_down,class,0.25,0.8666666666666667,0.5,0.0
1002,1.0,0.4,sqrt_down,class,0.35,0.8666666666666667,0.5,0.0
1002,1.0,0.4,sqrt_down,class,0.45,0.8666666666666667,0.5,0.0
1002,1.0,0.4,sqrt_down,class,0.6,0.8666666666666667,1.0,1.0
1002,1.0,0.4,sqrt_down,class,0.75,0.8666666666666667,1.0,1.0
1002,1.0,0.4,sqrt_down,class,0.9,0.8666666666666667,nan,
1002,1.0,0.4,sqrt_down,material,0.05,0.8092666866199122,0.9602621281337242,
1002,1.0,0.4,sqrt_down,material,0.15,0.8092666866199122,0.960730301145953,
1002,1.0,0.4,sqrt_down,material,0.25,0.8092666866199122,0.9622519058114299,
1002,1.0,0.4,sqrt_down,material,0.35,0.8092666866199122,0.9725681427787222,
1002,1.0,0.4,sqrt_down,material,0.45,0.8092666866199122,0.9799096324598595,
1002,1.0,0.4,sqrt_down,material,0.6,0.8092666866199122,0.990394989062279,
1002,1.0,0.4,sqrt_down,material,0.75,0.8092666866199122,0.9913675890244599,
1002,1.0,0.4,sqrt_down,material,0.9,0.8092666866199122,0.996778490092317,
1003,1.0,0.4,sqrt_down,presence,0.05,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.15,0.475,0.6666666666666666,0.36507936507936506
1003,1.0,0.4,sqrt_down,presence,0.25,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.35,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.45,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.6,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.75,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,presence,0.9,0.475,1.0,1.0
1003,1.0,0.4,sqrt_down,timing,0.05,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.15,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.25,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.35,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.45,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.6,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.75,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,timing,0.9,1.0,1.0,0.0
1003,1.0,0.4,sqrt_down,class,0.05,0.22727272727272727,0.2,0.0
1003,1.0,0.4,sqrt_down,class,0.15,0.22727272727272727,0.3,0.09411764705882353
1003,1.0,0.4,sqrt_down,class,0.25,0.22727272727272727,0.5,0.3529411764705882
1003,1.0,0.4,sqrt_down,class,0.35,0.22727272727272727,1.0,1.0
1003,1.0,0.4,sqrt_down,class,0.45,0.22727272727272727,1.0,1.0
1003,1.0,0.4,sqrt_down,class,0.6,0.22727272727272727,0.0,0.0
1003,1.0,0.4,sqrt_down,class,0.75,0.22727272727272727,0.6666666666666666,0.5686274509803921
1003,1.0,0.4,sqrt_down,class,0.9,0.22727272727272727,1.0,1.0
1003,1.0,0.4,sqrt_down,material,0.05,0.6491938385915874,0.9053489450904346,
1003,1.0,0.4,sqrt_down,material,0.15,0.6491938385915874,0.9336314102584943,
1003,1.0,0.4,sqrt_down,material,0.25,0.6491938385915874,0.9409351808520099,
1003,1.0,0.4,sqrt_down,material,0.35,0.6491938385915874,0.9478100105524256,
1003,1.0,0.4,sqrt_down,material,0.45,0.6491938385915874,0.9633528657854019,
1003,1.0,0.4,sqrt_down,material,0.6,0.6491938385915874,0.9706963911050711,
1003,1.0,0.4,sqrt_down,material,0.75,0.6491938385915874,0.9796621493600196,
1003,1.0,0.4,sqrt_down,material,0.9,0.6491938385915874,0.9946230675621935,
1048,1.0,0.4,sqrt_down,presence,0.05,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.15,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.25,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.35,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.45,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.6,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.75,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,presence,0.9,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.05,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.15,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.25,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.35,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.45,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.6,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.75,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,timing,0.9,1.0,1.0,0.0
1048,1.0,0.4,sqrt_down,class,0.05,0.34615384615384615,0.6,0.388235294117647
1048,1.0,0.4,sqrt_down,class,0.15,0.34615384615384615,0.26666666666666666,0.0
1048,1.0,0.4,sqrt_down,class,0.25,0.34615384615384615,0.3333333333333333,0.0
1048,1.0,0.4,sqrt_down,class,0.35,0.34615384615384615,1.0,1.0
1048,1.0,0.4,sqrt_down,class,0.45,0.34615384615384615,0.5,0.23529411764705882
1048,1.0,0.4,sqrt_down,class,0.6,0.34615384615384615,0.5,0.23529411764705882
1048,1.0,0.4,sqrt_down,class,0.75,0.34615384615384615,1.0,1.0
1048,1.0,0.4,sqrt_down,class,0.9,0.34615384615384615,1.0,1.0
