axis,s,mean_a_fork,mean_commit_gain,n
class,0.05,0.716,0.574,177
class,0.15,0.735,0.594,176
class,0.25,0.780,0.647,173
class,0.35,0.828,0.713,177
class,0.45,0.880,0.781,174
class,0.6,0.897,0.812,169
class,0.75,0.951,0.872,165
class,0.9,0.974,0.907,159
material,0.05,0.910,nan,200
material,0.15,0.927,nan,200
material,0.25,0.943,nan,200
material,0.35,0.958,nan,200
material,0.45,0.967,nan,200
material,0.6,0.978,nan,200
material,0.75,0.985,nan,200
material,0.9,0.994,nan,200
presence,0.05,0.882,0.426,200
presence,0.15,0.897,0.470,200
presence,0.25,0.916,0.513,200
presence,0.35,0.918,0.505,200
presence,0.45,0.933,0.533,200
presence,0.6,0.935,0.530,200
presence,0.75,0.944,0.550,200
presence,0.9,0.950,0.546,200
timing,0.05,0.973,0.372,200
timing,0.15,0.975,0.352,200
timing,0.25,0.976,0.352,200
timing,0.35,0.987,0.372,200
timing,0.45,0.990,0.370,200
timing,0.6,0.991,0.385,200
timing,0.75,0.990,0.385,200
timing,0.9,0.992,0.385,200
