axis,s,mean_a_fork,mean_commit_gain,n
class,0.05,0.645,0.349,190
class,0.15,0.684,0.403,194
class,0.25,0.701,0.436,190
class,0.35,0.734,0.458,185
class,0.45,0.775,0.518,188
class,0.6,0.793,0.567,184
class,0.75,0.868,0.665,182
class,0.9,0.939,0.769,171
material,0.05,0.903,nan,200
material,0.15,0.922,nan,200
material,0.25,0.940,nan,200
material,0.35,0.952,nan,200
material,0.45,0.962,nan,200
material,0.6,0.973,nan,200
material,0.75,0.982,nan,200
material,0.9,0.992,nan,200
presence,0.05,0.889,0.284,200
presence,0.15,0.887,0.284,200
presence,0.25,0.895,0.288,200
presence,0.35,0.895,0.302,200
presence,0.45,0.903,0.324,200
presence,0.6,0.918,0.341,200
presence,0.75,0.932,0.369,200
presence,0.9,0.943,0.381,200
timing,0.05,0.909,0.301,200
timing,0.15,0.916,0.319,200
timing,0.25,0.930,0.349,200
timing,0.35,0.939,0.368,200
timing,0.45,0.946,0.375,200
timing,0.6,0.960,0.395,200
timing,0.75,0.960,0.408,200
timing,0.9,0.981,0.439,200
