axis_id,probe,target,s,accuracy,n
presence,audio_tagger,ode,0.05,0.54375,800
presence,audio_tagger,ode,0.15,0.55125,800
presence,audio_tagger,ode,0.25,0.66875,800
presence,audio_tagger,ode,0.35,0.7575,800
presence,audio_tagger,ode,0.45,0.8025,800
presence,audio_tagger,ode,0.6,0.83625,800
presence,audio_tagger,ode,0.75,0.91125,800
presence,audio_tagger,ode,0.9,0.9775,800
timing,audio_tagger,ode,0.05,0.94625,800
timing,audio_tagger,ode,0.15,0.95375,800
timing,audio_tagger,ode,0.25,0.965,800
timing,audio_tagger,ode,0.35,0.96875,800
timing,audio_tagger,ode,0.45,0.96875,800
timing,audio_tagger,ode,0.6,0.97625,800
timing,audio_tagger,ode,0.75,0.985,800
timing,audio_tagger,ode,0.9,0.99875,800
class,audio_tagger,ode,0.05,0.25,800
class,audio_tagger,ode,0.15,0.29,800
class,audio_tagger,ode,0.25,0.2875,800
class,audio_tagger,ode,0.35,0.345,800
class,audio_tagger,ode,0.45,0.43625,800
class,audio_tagger,ode,0.6,0.5575,800
class,audio_tagger,ode,0.75,0.7175,800
class,audio_tagger,ode,0.9,0.94,800
material,audio_tagger,ode,0.05,0.26755509005269396,800
material,audio_tagger,ode,0.15,0.334460027210885,800
material,audio_tagger,ode,0.25,0.45503214710935547,800
material,audio_tagger,ode,0.35,0.5848640657301614,800
material,audio_tagger,ode,0.45,0.6961520207731451,800
material,audio_tagger,ode,0.6,0.8509415251882975,800
material,audio_tagger,ode,0.75,0.9626053630092742,800
material,audio_tagger,ode,0.9,0.9986582315457513,800
