clip,axis_id,a_independent
2555,class,0.2
2555,material,0.6748990710128966
2555,presence,1.0
2555,timing,1.0
3459,class,0.47619047619047616
3459,material,0.5826401860996182
3459,presence,1.0
3459,timing,1.0
121,class,0.3333333333333333
121,material,0.7036370626183961
121,presence,1.0
121,timing,1.0
2945,class,0.75
2945,material,0.5670777292783254
2945,presence,1.0
2945,timing,1.0
859,class,0.16666666666666666
859,material,0.4728808359884397
859,presence,1.0
859,timing,0.75
2881,class,1.0
2881,material,0.7294331139497746
2881,presence,1.0
2881,timing,1.0
1800,class,0.4
1800,material,0.4428864715705024
1800,presence,1.0
1800,timing,1.0
4411,class,0.39285714285714285
4411,material,0.4646003022935993
4411,presence,0.75
4411,timing,0.75
115,class,0.4
115,material,0.6428909884860997
115,presence,0.5714285714285714
115,timing,1.0
2808,class,0.17857142857142858
2808,material,0.48375300547583117
2808,presence,1.0
2808,timing,1.0
935,class,0.6
935,material,0.5465844752893378
935,presence,0.75
935,timing,1.0
3475,class,0.2
3475,material,0.5258762018129005
3475,presence,0.5714285714285714
3475,timing,1.0
986,class,0.6
986,material,0.7892154149302014
986,presence,0.75
986,timing,1.0
1972,class,0.10714285714285714
1972,material,0.6275863952884391
1972,presence,1.0
1972,timing,1.0
3460,class,1.0
3460,material,0.7043001399349011
3460,presence,1.0
3460,timing,0.5357142857142857
2732,class,0.26666666666666666
2732,material,0.7590408364623136
2732,presence,1.0
2732,timing,1.0
4590,class,0.16666666666666666
4590,material,0.5141132174745907
4590,presence,0.42857142857142855
4590,timing,0.5357142857142857
3411,class,0.7142857142857143
3411,material,0.5282174294241362
3411,presence,1.0
3411,timing,1.0
1964,class,0.3333333333333333
1964,material,0.9119183482050854
1964,presence,1.0
1964,timing,1.0
2174,class,0.19047619047619047
2174,material,0.5786840414315119
2174,presence,1.0
2174,timing,0.75
3768,class,0.47619047619047616
3768,material,0.534550797848383
3768,presence,1.0
3768,timing,1.0
1601,class,0.7142857142857143
1601,material,0.7358304192455212
1601,presence,1.0
1601,timing,1.0
2757,class,0.16666666666666666
2757,material,0.5490606532939665
2757,presence,0.75
2757,timing,1.0
1486,class,0.3
1486,material,0.811507726259007
1486,presence,0.5714285714285714
1486,timing,1.0
4744,class,0.26666666666666666
4744,material,0.4987548047486522
4744,presence,0.75
4744,timing,0.75
509,class,0.25
