clip,cfg,axis_id,s,a_fork_conf,n_conf,abstain_fork,a_independent_conf,abstain_ind,commit_gain,a_fork_emb,a_ind_emb
1252,1.0,class,0.05,0.400000,5,0.3750,1.000000,0.1250,0.000000,0.835107,0.805433
1252,1.0,class,0.3,0.190476,7,0.1250,1.000000,0.1250,0.000000,0.849394,0.805433
1252,1.0,class,0.6,0.300000,5,0.3750,1.000000,0.1250,0.000000,0.924059,0.805433
1252,1.0,class,0.9,1.000000,7,0.1250,1.000000,0.1250,0.000000,0.976131,0.805433
1252,1.0,presence,0.05,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.835107,0.805433
1252,1.0,presence,0.3,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.849394,0.805433
1252,1.0,presence,0.6,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.924059,0.805433
1252,1.0,presence,0.9,1.000000,8,0.0000,0.750000,0.0000,1.000000,0.976131,0.805433
1252,4.5,class,0.05,0.400000,5,0.3750,1.000000,0.1250,0.000000,0.920745,0.838954
1252,4.5,class,0.3,0.400000,6,0.2500,1.000000,0.1250,0.000000,0.921720,0.838954
1252,4.5,class,0.6,0.428571,7,0.1250,1.000000,0.1250,0.000000,0.959092,0.838954
1252,4.5,class,0.9,1.000000,4,0.5000,1.000000,0.1250,0.000000,0.990830,0.838954
1252,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.920745,0.838954
1252,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.921720,0.838954
1252,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.959092,0.838954
1252,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.990830,0.838954
1593,1.0,class,0.05,1.000000,8,0.0000,0.300000,0.3750,1.000000,0.900189,0.619513
1593,1.0,class,0.3,1.000000,8,0.0000,0.300000,0.3750,1.000000,0.958454,0.619513
1593,1.0,class,0.6,1.000000,8,0.0000,0.300000,0.3750,1.000000,0.982896,0.619513
1593,1.0,class,0.9,1.000000,8,0.0000,0.300000,0.3750,1.000000,0.994757,0.619513
1593,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.900189,0.619513
1593,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.958454,0.619513
1593,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.982896,0.619513
1593,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.994757,0.619513
1593,4.5,class,0.05,0.466667,6,0.2500,0.466667,0.2500,0.000000,0.847900,0.699616
1593,4.5,class,0.3,1.000000,6,0.2500,0.466667,0.2500,1.000000,0.919523,0.699616
1593,4.5,class,0.6,1.000000,6,0.2500,0.466667,0.2500,1.000000,0.956746,0.699616
1593,4.5,class,0.9,1.000000,7,0.1250,0.466667,0.2500,1.000000,0.984849,0.699616
1593,4.5,presence,0.05,0.464286,8,0.0000,0.750000,0.0000,0.000000,0.847900,0.699616
1593,4.5,presence,0.3,0.464286,8,0.0000,0.750000,0.0000,0.000000,0.919523,0.699616
1593,4.5,presence,0.6,0.428571,8,0.0000,0.750000,0.0000,0.000000,0.956746,0.699616
1593,4.5,presence,0.9,0.464286,8,0.0000,0.750000,0.0000,0.000000,0.984849,0.699616
1610,1.0,class,0.05,0.238095,7,0.1250,0.285714,0.1250,0.000000,0.924265,0.807345
1610,1.0,class,0.3,1.000000,2,0.7500,0.285714,0.1250,1.000000,0.950687,0.807345
1610,1.0,class,0.6,0.400000,5,0.3750,0.285714,0.1250,0.160000,0.977613,0.807345
1610,1.0,class,0.9,1.000000,6,0.2500,0.285714,0.1250,1.000000,0.993088,0.807345
1610,1.0,presence,0.05,0.750000,8,0.0000,1.000000,0.0000,0.000000,0.924265,0.807345
1610,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.950687,0.807345
1610,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.977613,0.807345
1610,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.993088,0.807345
1610,4.5,class,0.05,1.000000,7,0.1250,0.750000,0.0000,1.000000,0.907308,0.862336
1610,4.5,class,0.3,1.000000,4,0.5000,0.750000,0.0000,1.000000,0.918753,0.862336
1610,4.5,class,0.6,0.500000,4,0.5000,0.750000,0.0000,0.000000,0.957119,0.862336
1610,4.5,class,0.9,0.333333,4,0.5000,0.750000,0.0000,0.000000,0.979605,0.862336
1610,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.907308,0.862336
1610,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.918753,0.862336
1610,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.957119,0.862336
1610,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.979605,0.862336
2260,1.0,class,0.05,0.200000,5,0.3750,0.500000,0.5000,0.000000,0.882785,0.795622
2260,1.0,class,0.3,0.266667,6,0.2500,0.500000,0.5000,0.000000,0.906140,0.795622
2260,1.0,class,0.6,0.600000,5,0.3750,0.500000,0.5000,0.200000,0.959498,0.795622
2260,1.0,class,0.9,1.000000,2,0.7500,0.500000,0.5000,1.000000,0.987519,0.795622
2260,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.882785,0.795622
2260,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.906140,0.795622
2260,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.959498,0.795622
2260,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.987519,0.795622
2260,4.5,class,0.05,1.000000,2,0.7500,0.400000,0.3750,1.000000,0.901892,0.776708
2260,4.5,class,0.3,1.000000,5,0.3750,0.400000,0.3750,1.000000,0.937677,0.776708
2260,4.5,class,0.6,1.000000,3,0.6250,0.400000,0.3750,1.000000,0.958669,0.776708
2260,4.5,class,0.9,NaN,1,0.8750,0.400000,0.3750,NaN,0.987423,0.776708
2260,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.901892,0.776708
2260,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.937677,0.776708
2260,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.958669,0.776708
2260,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.987423,0.776708
2322,1.0,class,0.05,0.200000,5,0.3750,0.333333,0.6250,0.000000,0.831712,0.697847
2322,1.0,class,0.3,0.714286,7,0.1250,0.333333,0.6250,0.571429,0.941832,0.697847
2322,1.0,class,0.6,1.000000,8,0.0000,0.333333,0.6250,1.000000,0.974654,0.697847
2322,1.0,class,0.9,1.000000,8,0.0000,0.333333,0.6250,1.000000,0.988870,0.697847
2322,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.831712,0.697847
2322,1.0,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.941832,0.697847
2322,1.0,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.974654,0.697847
2322,1.0,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.988870,0.697847
2322,4.5,class,0.05,1.000000,3,0.6250,0.500000,0.5000,1.000000,0.914686,0.766148
2322,4.5,class,0.3,NaN,1,0.8750,0.500000,0.5000,NaN,0.955617,0.766148
2322,4.5,class,0.6,1.000000,3,0.6250,0.500000,0.5000,1.000000,0.972726,0.766148
2322,4.5,class,0.9,1.000000,2,0.7500,0.500000,0.5000,1.000000,0.986131,0.766148
2322,4.5,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.914686,0.766148
2322,4.5,presence,0.3,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.955617,0.766148
2322,4.5,presence,0.6,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.972726,0.766148
2322,4.5,presence,0.9,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.986131,0.766148
2569,1.0,class,0.05,1.000000,6,0.2500,0.166667,0.5000,1.000000,0.882103,0.761064
2569,1.0,class,0.3,0.714286,7,0.1250,0.166667,0.5000,0.657143,0.890879,0.761064
2569,1.0,class,0.6,1.000000,8,0.0000,0.166667,0.5000,1.000000,0.963487,0.761064
2569,1.0,class,0.9,1.000000,8,0.0000,0.166667,0.5000,1.000000,0.983451,0.761064
2569,1.0,presence,0.05,1.000000,8,0.0000,1.000000,0.0000,0.000000,0.882103,0.761064
